STATE,POP,EXPEND
AK,669,563
AL,4540,1757
AR,2772,1145
AZ,5952,3589
CA,35990,29332
CO,4674,2519
CT,3486,1949
DC,582,671
DE,841,588
FL,17736,11351
GA,9108,4490
HI,1268,678
IA,2956,1126
ID,1426,646
IL,12720,6500
IN,6257,2390
KS,2742,1215
KY,4171,1706
LA,4496,2491
MA,6429,3465
MD,5573,3578
ME,1312,484
MI,10108,5681
MN,5114,2470
MO,5788,2425
MS,2900,1050
MT,936,441
NC,8679,3706
ND,636,224
NE,1754,726
NH,1303,515
NJ,8657,5982
NM,1916,1156
NV,2409,1730
NY,19263,15449
OH,11460,6028
OK,3536,1485
OR,3630,2076
PA,12367,6629
RI,1067,607
SC,4255,1570
SD,780,280
TN,5989,2504
TX,22844,10668
UT,2505,1225
VA,7558,3794
VT,620,284
WA,6271,3292
WI,5540,3092
WV,1806,643
WY,507,459
